Title,Author,Created,Date_Added,Date_Added1,Excerpt,Image_Url,Link,Post_Date,Post_Date1,Post_Date_1,Tags,author_url,created_date,post-date-1,post-date-final,post-date-remove,text_date
SuperDuperDB: Bring AI to your favorite database!,SuperDuperDB,"January 6, 2024 9:24 PM",,,Build and manage AI applications easily without needing to move your data to complex pipelines and specialized vector databases. Integrate AI and vector search directly with your database including real-time inference and model training. Just using Python!,/img/article_images/img-l02197.png,https://www.superduperdb.com/,2024/01/15,2024-01-15,,"ai, application, search, technology, tool",,2024-01-06,,2024-01-15,,
Understanding “tokens” and tokenization in large language models | by Michael Humor | Medium,Michael Humor,"January 3, 2024 3:07 PM",,,"In the context of Large Language Models (LLMs), the term “token” refers to a chunk of text that the model reads or generates. A token is typically not a word; it could be a smaller unit, like a character or a part of a word, or a larger one like a whole phrase. In  the GPT architecture, a sequence of tokens serves as the input and/or output during both training and inference (the stage where the model generates text based on a given prompt).",,https://medium.com/@michaelhumor/understanding-tokens-and-tokenization-in-large-language-models-1058cd24b944,2023/09/10,2023-09-10,,"ai, explainer, introductory, llm, post, technique",,2024-01-03,,2023-09-10,,
"Machine learning with Umar Jamil. Some of the most clear explanations of complex concepts. ",,"December 22, 2023 6:45 PM",,,,,https://umarjamil.org/,,,,,,2023-12-22,,,,
Axel Polleres' Personal Web Page,,"December 21, 2023 3:36 PM",,,,,https://aic.ai.wu.ac.at/~polleres/,,,,,,2023-12-21,,,,
21.3. Matrix Factorization — Dive into Deep Learning 1.0.3 documentation,,"December 17, 2023 12:31 AM",,,,,https://d2l.ai/chapter_recommender-systems/mf.html,,,,,,2023-12-17,,,,
"Google Releases 7 Free AI Courses: Master AI Skills Without Cost!
",,"December 5, 2023 8:01 PM",,,,,https://flip.it/ZFdx6D,,,,course,,2023-12-05,,,,
Paperless-ngx,,"November 30, 2023 3:53 PM",,,"Paperless-ngx is a document management system that transforms your 
physical documents into a searchable online archive so you can keep, 
well, less paper.",,https://github.com/paperless-ngx/paperless-ngx/tree/main/docker/compose,2023/11/30,2023-11-30,,"application, toolkit",,2023-11-30,,2023-11-30,,
UN Statistics Division - Good Practices Database,,"November 19, 2023 8:06 PM",,,,,https://unstats.un.org/unsd/dnss/gp/searchgp.aspx,,,,,,2023-11-19,,,,
Data demand and use tools,,"November 19, 2023 8:03 PM",,,,,https://www.measureevaluation.org/tools/data-demand-use.html,,,,,,2023-11-19,,,,
Health Information Systems Interoperability Maturity Toolkit,United Nations,"November 19, 2023 7:49 PM",,,"The kit contains three main pieces: a maturity model, an assessment tool, and a users’ guide. It also offers a complete list of the references consulted in a literature review that was conducted as part of the toolkit’s development.",,https://www.measureevaluation.org/tools/health-information-systems-interoperability-toolkit.html,,,2023-01-01,"data-management, interoperability, methodology, toolkit, website",,2023-11-19,"01  01, 2023",2023-01-01,2023,
Data Interoperability: A Practitioner’s Guide,Luis González Morales & Tom Orrell,"November 19, 2023 7:32 PM",,,"Over the years, countless systems that do not talk to one another have been created within and across
organizations for the purposes of collecting, processing and disseminating data for development. With
the proliferation of different technology platforms, data definitions and institutional arrangements for
managing, sharing and using data, it has become increasingly necessary to dedicate resources to integrate
the data necessary to support policy-design and decision-making.",,https://www.data4sdgs.org/sites/default/files/services_files/Interoperability%20-%20A%20practitioner%E2%80%99s%20guide%20to%20joining-up%20data%20in%20the%20development%20sector.pdf,,,,,,2023-11-19,,,,
UN Department of Economic & Social Affairs - Statistics,United Nations,"November 19, 2023 7:22 PM",,,,,https://unstats.un.org/UNSDWebsite/,2023/01/01,2023-01-01,,"methodology, statistics, website",,2023-11-19,,2023-01-01,,
UN Department of Statistics - Quality Assurance,United Nations,"November 19, 2023 7:13 PM",,,how to develop and implement a national quality assurance framework (NQAF). A NQAF is a coherent and holistic system for statistical quality management which assures trust and quality of official statistics across the entire national statistical system,,https://unstats.un.org/UNSDWebsite/data-quality,2023/01/01,2023-01-01,,"data-management, data-quality, framework",,2023-11-19,,2023-01-01,,
Data Interoperability Guide,https://unstats.un.org/wiki/display/~gonzalezmorales,"November 13, 2023 12:46 PM",,,"Interoperability is a characteristic of good quality data, and it relates to broader concepts of value, knowledge creation, collaboration, and fitness-for-purpose. As one of the interviewees in The Frontiers of Data Interoperability for Sustainable Development put it, “the problem with interoperability is that it... means different things to different people.”",,https://unstats.un.org/wiki/display/InteropGuide/Home,,,2018-Oc-20,"data-management, open-source",,2023-11-13,"Oct 20, 2018",2018-Oc-20,,https://unstats.un.org/wiki/pages/diffpagesbyversion.action?pageId=36143998&selectedPageVersions=3&selectedPageVersions=4
"The Open Prison of the Big Data Revolution: False Consciousness, Faustian Bargains, and Digital Entrapment
",,"November 2, 2023 4:11 PM",,,,,https://flip.it/BTHWSS,,,,,,2023-11-02,,,,
"Ibn Sina, Biruni, and the Lost Enlightenment
",,"October 26, 2023 7:26 PM",,,,,https://flip.it/SF2ojx,,,,,,2023-10-26,,,,
"Teaching materials now available for Llaudet and Imai’s Data Analysis for Social Science! | Statistical Modeling, Causal Inference, and Social Science
",,"October 26, 2023 7:21 PM",,,,,https://flip.it/vz2mR1,,,,,,2023-10-26,,,,
Poetry,@theworlddivine,"October 8, 2023 2:16 AM",,,"My lover bathes her soul beneath the moonlight’s glow,
And whispers secrets only a woman’s heart can know.",,https://x.com/theworddivine/status/1710747994285343191?s=12,2023/10/07,2023-10-07,,,,2023-10-08,,2023-10-07,,
Poetry,@theworlddivine,"October 8, 2023 2:16 AM",,,,,https://x.com/theworddivine/status/1710794351314399368?s=12,,,,,,2023-10-08,,,,
