id;name;category;Sub-category-1;Sub-category-2;type;description;link
a001;Logic Programming;Symbolic;;;methodology;A programming paradigm based formal logic, representing knowledge as a set of facts and rules that define relationships among entities.;https://en.wikipedia.org/wiki/Logic_programming
a002;Rules-Based Systems;Symbolic;;;methodology;"Systems that use ""if-then"" rules to derive decisions and actions from given facts and conditions.";https://smythos.com/ai-agents/ai-tutorials/symbolic-ai-applications/
a003;Semantic Networks;Symbolic;;;methodology;Graph-based structures used to represents knowledge as a network of relationships, with knowledge as nodes and concepts as edges, representing relationships.;https://en.wikipedia.org/wiki/Semantic_network
a004;Knowledge Representation;Symbolic;;;methodology;A set of techniques used to formalize and structure knowledge in way that can be used by machines for reasoning.;https://en.wikipedia.org/wiki/Knowledge_representation_and_reasoning
a005;Markov Models;Other;statistics;;methodology;Probabilistic models that assume the future state depends only on the current state, commonly used for sequential data analysis.;https://en.wikipedia.org/wiki/Markov_model
a006;Statistical Inference;Other;statistics;;methodology;The processes and techniques used to draw conclusions about population or process parameters based on sample data and probabilistic reasoning. ;https://en.wikipedia.org/wiki/Statistical_inference
a007;Probability Theory;Other;statistics;;methodology;The broad foundational mathematical framework tools used in many fields to model uncertainty and randomness, and analyze data distributions.;https://en.wikipedia.org/wiki/Probability_theory
a008;Bayesian Network;Other;machine_learning;;methodology;Graphical models that represent probabilistic relationships among variables, enabling inference under uncertainty.;https://en.wikipedia.org/wiki/Bayesian_network
a009;Evolutionary Algorithms;Other;;;method;A set of techniques inspired by natural selection, where solutions evolved over generations through operations like mutation, crossover & selection.;https://en.wikipedia.org/wiki/Evolutionary_algorithm
a010;Supervised Learning;Other;machine_learning;;methodology;A machine learning approach that uses labeled data to train models to make predictions on unlabeled data.;https://en.wikipedia.org/wiki/Supervised_learning
a011;Unsupervised Learning;Other;machine_learning;;methodology;A machine learning approach that finds underlying patterns and groupings in data without labels.;https://en.wikipedia.org/wiki/Unsupervised_learning
a012;Reinforcement Learning;Other;machine_learning;;methodology;A learning paradigm where an agent learns optimal actions by interacting with an environment and receiving feedback in the form of rewards or penalties to guide its actions.;https://en.wikipedia.org/wiki/Reinforcement_learning
a013;Supervised Learning;Connectionist;machine_learning;;methodology;A machine learning approach that uses labeled data to train models to make predictions on unlabeled data.;https://en.wikipedia.org/wiki/Supervised_learning
a014;Unsupervised Learning;Connectionist;machine_learning;;methodology;A machine learning approach that finds underlying patterns and groupings in data without labels.;https://en.wikipedia.org/wiki/Unsupervised_learning
a015;Artificial Neural Networks;Connectionist;machine_learning;;methodology;Machine learning models loosely inspired by the human brain, built using layers of interconnected nodes.;https://en.wikipedia.org/wiki/Neural_network_(machine_learning)
a016;Deep Learning;Connectionist;machine_learning;;methodology;Neural networks with multiple layers, typically with non-linear activation functions, to learn representations of the data at multiple levels of abstraction.;https://en.wikipedia.org/wiki/Deep_learning
a017;Convolutional Neural Networks;Connectionist;machine_learning;;architecture;A type of deep neural network architecture designed for analyzing visual data using convolutional layers.;https://en.wikipedia.org/wiki/Convolutional_neural_network
a018;Recurrent Neural Networks;Connectionist;machine_learning;;architecture;Neural networks designed for sequential data via feedback loops, where the outputs depend on current and previous inputs.;https://en.wikipedia.org/wiki/Recurrent_neural_network
a019;Generative Adversarial Networks;Connectionist;machine_learning;;architecture;A method that uses two competing neural networks , a generator and a discriminator or evaluator, iteratively refining generated data to match real data distributions, producing realistic synthetic data.;https://en.wikipedia.org/wiki/Generative_adversarial_network
a020;Variational Autoencoders;Connectionist;machine_learning;;architecture;Generative neural networks that learn probabilistic latent representations of input data, enabling generation by sampling and decoding from the latent space.;https://en.wikipedia.org/wiki/Variational_autoencoder
a021;Transformer;Connectionist;machine_learning;;architecture;A deep learning architecture that used an attention mechanism for parallelized processing of sequential data.;https://en.wikipedia.org/wiki/Transformer_(deep_learning_architecture)
a022;Forward Chaining;Symbolic;;;method;Data-driven approaches to reasoning that start from known facts and apply inference rules to derive new facts and conclusions until a goal is reached.;https://en.wikipedia.org/wiki/Forward_chaining
a023;Backward Chaining;Symbolic;;;method;Approaches to reasoning that start with a desired goal and work backwards through logical rules to determine which facts must be true to support it.;https://en.wikipedia.org/wiki/Backward_chaining
a024;A* Search;Symbolic;;;method;An optimization algorithm that finds the best route to a goal by balancing the cost so far using heuristics to guide the search and make decisions efficiently.;https://en.wikipedia.org/wiki/A*_search_algorithm
a025;Depth-First/Best-First Search;Symbolic;;;method;Approaches for exploring decision spaces systematically traversing or searching through tree or graph data structures, each employing a distinct strategy to explore nodes.;https://en.wikipedia.org/wiki/Depth-first_search
a026;Resolution Theorem Proving;Symbolic;;;method;Procedures that apply logical inference rules to systematically derive conclusions from a set of premises by resolving contradictions in logic.;https://ocw.mit.edu/courses/6-825-techniques-in-artificial-intelligence-sma-5504-fall-2002/3439d481b8e3d5abecc1403caf1ca89d_Lecture7FinalPart1.pdf
a027;Constraint Satisfaction Problems;Symbolic;;;method;The process of finding solutions that meet all specified constraints within a given problem space.;https://en.wikipedia.org/wiki/Constraint_satisfaction_problem
