category;title;icon_url;id;article_n
all;all;/img/icons/universe-svgrepo-com.svg;200;1093
rstats;rstats;/img/icons/r-svgrepo-com.svg;205;257
python;python;/img/icons/python-svgrepo-com.svg;210;50
organization;organization & process;/img/icons/organization-people-group-public-svgrepo-com.svg;215;83
method;methods;/img/icons/method-chemistry-svgrepo-com.svg;220;336
tools;tools;/img/icons/tools-svgrepo-com.svg;225;224
technology;technology;/img/icons/technology;230;28
cautionary-tale;cautionary tale;/img/icons/caution-svgrepo-com.svg;235;79
book;books;/img/icons/book-svgrepo-com-2.svg;240;81
foundations;foundations;/img/icons/sprout-tree-svgrepo-com.svg;245;174
inspiration;inspiration;/img/icons/inspiration-art-svgrepo-com.svg;250;132
my-post;my posts;/img/logos/geometric-pattern-my-post.jpg;255;3
