Attribute;Value;article_n
area;survey;3
area;survival-analysis;1
area;finance;1
area;animation;26
area;bayesian;5
area;bi;42
area;anomaly-detection;2
area;text-mining;9
area;usage;4
area;k-means;1
area;project-management;3
area;predictive-maintenance;0
area;eda;3
area;predictive-modeling;3
area;mfa;1
area;api;7
area;image-processing;1
area;classification;3
area;big-data;6
area;reproducible-research;0
area;web-scraping;6
area;glm;1
area;regression;4
area;timeseries;8
area;philosophy;2
area;ops;7
area;mlops;6
area;quality;1
area;forecasting;10
area;development;48
area;model;10
area;data-driven-decision;2
area;exploration;3
area;data-story;8
area;analysis;56
area;open-data;3
area;deployment;3
area;clustering;5
area;coding;2
area;inference;5
area;sports;4
area;automation;4
area;effect;1
area;data-preparation;19
area;scientific-method;2
area;geospatial;58
area;statistics;53
area;network-graph;10
area;dl;23
area;dashboard;2
area;cpi;1
area;ml-project-management;1
area;nosql;1
area;probability;1
area;data-mining;1
area;unit-test;1
area;drl;1
area;periodic;1
area;monte-carlo;1
area;imputation;1
area;ab-testing;2
area;interpretation;2
area;encoding;1
area;feature-visualization;2
area;unsupervised;1
area;logic;1
area;graphics;1
area;image-generation;1
area;image-recognition;1
area;lda;1
area;causality;2
area;style;1
area;feature-selection;1
area;simulation;2
area;journalism;5
area;data-governance;1
area;hardware;3
area;optimization;1
area;polling;1
area;pie-chart;1
area;vision;2
area;uncertainty;1
area;real-time;3
area;palette;3
area;database;4
area;data-driven;10
area;testing;3
area;hierarchichal-model;1
area;flow-field;1
area;count;1
area;zero-inflated;1
area;search;42
area;self-driving-car;1
area;food;1
area;gam;1
area;no-code;1
area;lingtypology;1
area;history;1
area;interaction;1
area;data-processing;14
area;colour;32
area;analytics;12
area;3d;10
area;ai;122
area;stats;257
area;chart;31
area;feature-engineering;4
area;nlp;12
area;ml;153
area;graph;33
category;knowledge-management;1
category;open;9
category;infrastructure;1
category;organization;5
category;framework;3
category;practice;4
category;root-cause;1
category;benefit;2
category;data-art;3
category;platform;2
category;use-case;1
category;component;2
category;feature;11
category;function;3
category;design;41
category;health;2
category;concept;29
category;ecosystem;1
category;data;574
category;toolkit;2
category;theory;5
category;privacy;1
category;process;40
category;principle;6
category;technology;458
category;workflow;10
category;tool;110
category;toolbox;0
category;technique;230
category;method;65
category;standard;2
category;guideline;0
category;cautionary-tale;22
category;book;80
category;methodology;27
category;roadmap;1
format;package;93
format;video;31
format;article;69
format;booklet;1
format;book;80
format;site;32
format;notebook;2
format;online;14
format;quote;1
format;audio;1
format;pdf;1
format;multiformat;0
format;application;8
format;poetry;1
format;podcast;15
format;website;0
format;service;1
format;slides;4
format;app;15
format;talk;13
format;lecture;6
format;presentation;7
format;blog;11
format;course;53
format;interview;12
format;paper;28
format;post;562
format;interactive;19
format;website;0
level;fundamentals;14
level;getting-started;6
level;speculation;0
level;basics;38
level;advanced;7
level;introduction;30
level;example;84
level;explainer;72
level;definition;4
level;intermediate;10
level;beginner;1
level;overview;42
other;purpose;1
